local authority: county / unitary (as of April 2023),LA Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Slough,E06000039,105377,106920,108779,110986,112921,114882,116499,117980,118497,119694,120577,120927,120869,120833,122874,125200,127991,131453,134742,137800,140713,143095,144880,147313,150104,152565,154573,155915,157632,158281,158448,159387,160713
Windsor and Maidenhead,E06000040,133695,133884,134043,134148,135474,135917,135036,132960,132917,133654,133541,133631,134201,135066,136446,138012,139743,141345,142424,143988,145098,146642,147525,148936,150043,152085,152648,153470,153893,153991,153922,154869,155239
Wokingham,E06000041,141144,142196,143189,142653,143470,144384,146518,148091,147912,149527,150334,149445,148794,149008,149598,150548,152144,153191,154165,154650,154943,157038,158372,159576,161773,163797,165664,168734,171789,174708,178231,181383,183870
Milton Keynes,E06000042,178272,180394,183924,187937,192359,196649,199662,202861,206664,209803,212707,215061,217597,219521,223462,227225,231033,235625,240178,245450,249895,254003,259672,264948,269783,274231,276588,278892,281434,283707,288312,292517,298270
Brighton and Hove,E06000043,240534,240903,240640,240829,241900,242499,244745,246816,248008,248791,249949,249743,249846,249847,252863,255564,258161,262019,265584,269495,272952,274051,275494,275999,277351,279796,279500,281250,279920,278496,276454,278370,279637
Portsmouth,E06000044,186754,187613,187391,187901,188923,189498,189427,189119,187768,187820,188043,188476,190283,193483,196318,195964,194907,196036,198983,202700,205433,205729,205905,206200,207873,209951,210965,211215,210412,209142,207119,208949,210297
Southampton,E06000045,204752,205428,206489,209126,211178,212924,213689,215530,216057,217273,219539,220459,221989,223589,226655,226698,227223,228447,230017,233085,235870,238097,239484,241230,244666,248662,250492,250803,249428,248679,247672,252151,256110
Isle of Wight,E06000046,125894,125620,125228,125438,126168,126696,127306,128575,129997,131431,132925,133908,134783,135891,137179,137727,138289,138675,138361,138364,138392,138632,138146,138899,139316,139650,141277,141665,141764,140915,140885,140779,140906
Buckinghamshire,E06000060,455714,459993,461915,464078,467904,468779,471148,472078,475883,477186,479131,478768,480164,482126,485526,489348,493501,496371,498813,502820,506550,512105,517918,523613,529999,535519,538762,541983,545859,549066,555161,560688,566694
East Sussex,E10000011,468955,472317,473433,476220,477992,480030,482111,484999,489381,491676,493130,496927,501148,505007,508519,511525,515891,519197,520370,523651,527209,530358,533183,537577,540620,543389,544697,544719,545261,544582,546861,551007,555484
Hampshire,E10000014,1178711,1183765,1188187,1196481,1203112,1210391,1217815,1223022,1232819,1236408,1241431,1245073,1250515,1255419,1263075,1272498,1283441,1293565,1301706,1312347,1322118,1331572,1339946,1349948,1358341,1368397,1373783,1378177,1384378,1391311,1406110,1417257,1428559
Kent,E10000016,1285798,1285235,1285806,1290099,1293738,1297663,1303105,1306723,1316720,1324679,1331194,1338968,1349046,1361384,1375217,1389634,1407791,1423308,1435269,1451905,1466466,1478262,1490021,1506187,1517016,1531022,1542707,1552853,1562840,1567971,1578552,1594467,1610251
Oxfordshire,E10000025,576104,580384,577090,579849,585813,588454,593589,596991,603800,607115,607277,609491,616031,620412,627568,630873,635094,638784,643095,648688,654791,662243,669390,676621,682571,690541,696188,702259,708513,714766,726727,737795,750230
Surrey,E10000030,1023314,1024331,1025550,1027435,1030224,1030928,1038846,1040161,1055732,1057016,1060163,1059472,1062774,1065142,1071781,1082841,1095639,1104242,1113665,1125804,1135367,1145011,1156631,1166995,1174418,1182180,1185103,1186752,1192224,1195847,1205994,1217048,1228671
West Sussex,E10000032,709986,709817,712033,715478,723543,728211,736528,740840,749126,752258,754976,757263,760883,765987,770798,777402,784283,790978,796039,803154,808919,817521,825301,833969,842534,851868,859537,866248,871740,875354,885048,892807,900862
Bath and North East Somerset,E06000022,163135,163023,162221,162980,163511,163586,164738,165962,167061,168490,169158,169819,170361,170585,171274,171204,172635,173565,173360,174267,175538,176598,178743,180065,182561,185507,186894,189489,190176,191974,192419,195988,199818
"Bristol, City of",E06000023,392174,390607,390565,390996,391326,389196,389163,389398,390985,390446,390049,389735,391454,395743,405407,408428,411901,414822,418990,423044,428074,433264,438984,443834,451790,459588,463113,467026,469920,471851,471285,478636,482998
North Somerset,E06000024,179213,179619,181056,181338,182027,183247,183813,185937,186745,187745,188840,189718,191323,192776,194745,197028,199498,200853,201711,202967,203091,204465,206403,208617,210553,212660,213701,214360,215540,215850,217385,219165,221146
South Gloucestershire,E06000025,222150,225629,228666,230850,231341,233020,236306,238357,241635,244790,245985,247755,249176,251226,253178,255258,256640,257970,259730,261471,263417,265741,268167,269840,272189,275808,278379,281719,284563,287182,290886,295307,299439
Plymouth,E06000026,251244,253296,253766,249525,250299,247777,246041,242895,241977,241721,240954,242550,243390,244037,247516,249178,251237,252488,253116,254227,256589,257886,259549,261980,263088,264440,265294,265689,265041,264830,264768,267063,268736
Torbay,E06000027,121953,121518,121510,123673,124927,124737,124524,124926,126311,128475,129965,130521,131238,131937,132178,131857,132172,132070,131641,131443,131193,131806,132920,134217,135052,136172,137329,138100,138754,138695,139440,139409,139485
Swindon,E06000030,171504,172079,172152,171772,171949,172692,175179,177804,179329,179613,180129,182110,184368,186390,189684,192345,196942,201521,204371,206939,209709,212801,215994,218998,221805,224498,227680,230174,231934,232574,233760,235652,238417
Cornwall,E06000052,469540,471059,472707,475425,478400,479017,483206,486089,490563,495373,499937,504644,508579,511810,515098,517984,521957,524973,526365,529794,533760,537411,540061,543778,547334,551203,556921,559961,563695,565045,571948,575532,578324
Isles of Scilly,E06000053,2009,1983,2029,1977,1920,1863,1908,1942,2025,2100,2140,2170,2155,2210,2210,2264,2293,2333,2251,2228,2224,2249,2214,2188,2238,2236,2170,2166,2098,2030,2271,2281,2229
Wiltshire,E06000054,398650,403871,407284,410702,414251,415836,418840,422136,425242,428251,433508,438386,442633,445632,448670,453041,458840,464007,466711,470199,474319,476806,479505,484344,488377,492706,497177,498703,502985,507047,513240,516107,517979
"Bournemouth, Christchurch and Poole",E06000058,332691,334554,336206,337738,339604,339916,343004,344485,344425,345785,346829,348717,348483,348506,351616,353901,359462,363158,366948,373760,379441,382465,385483,389727,392499,397066,399374,400064,400182,399564,400155,402559,404050
Dorset,E06000059,323800,325535,326896,330274,333664,336132,338202,340020,340914,344877,346596,350487,353367,355305,357679,359806,363069,364085,363567,364317,365897,366572,367651,368694,370728,372416,374675,375604,377699,377670,381245,383373,384809
Somerset,E06000066,465677,470122,471868,475569,478489,479789,483752,486347,490430,493940,498707,503132,506790,510659,514338,517252,522150,525668,526592,528609,531581,535842,539465,544312,548792,554806,558895,562159,564987,566310,573100,577091,581145
Devon,E10000008,658526,662617,665394,670558,673075,675534,681358,687448,692295,700886,705568,709940,714055,718827,725620,729592,736326,739921,740988,743908,747709,751136,754431,760234,766810,773800,783352,789834,796542,800796,814435,826108,833408
Gloucestershire,E10000013,535982,538409,541314,543701,547073,550748,557285,555718,561021,564582,564999,566445,569281,572641,576908,580702,585415,587610,590480,594097,598289,601301,605213,611331,617671,624076,629712,634653,638676,640572,646485,652666,659276
Isle of Anglesey,W06000001,69123,69379,69772,69187,68426,68592,68109,67692,67978,67898,67806,67879,68140,68753,69095,69388,69700,69916,69884,69833,69913,69964,69880,69761,69415,68826,68617,68539,68278,68794,68937,69070,69291
Gwynedd,W06000002,115007,115426,115717,116330,117526,117486,117606,117384,116362,116699,116844,117344,118022,118721,118641,119070,119398,119746,120344,121155,121523,121439,120403,119796,119632,118958,118881,118129,117584,118180,117072,117997,119173
Conwy,W06000003,107951,107782,108142,108891,108940,107897,108174,108470,108322,108651,109674,110624,111248,112272,112374,113004,113778,114371,114623,114682,115326,115432,115313,115700,115380,115391,114855,114387,114196,114651,114788,114303,114410
Denbighshire,W06000004,89395,89119,89375,89572,89911,90623,90616,90951,91509,92525,93070,93478,93872,94010,93978,93983,94530,94739,94444,94152,93919,94119,94378,94670,94691,94723,94597,94596,94766,95558,96047,96602,97156
Flintshire,W06000005,142036,143493,144049,144539,144844,144106,144643,146261,146824,147930,148629,148947,149176,149681,149890,150125,150816,151501,151985,152080,152666,152660,152906,153439,153688,154166,154587,154587,154592,155004,155045,155334,155812
Wrexham,W06000006,124180,124627,124949,125298,125431,125527,125637,126178,126907,127653,128540,128595,128914,129005,129249,130311,131263,132371,133295,134009,135070,135589,135861,135983,135565,135354,135619,136244,135899,135980,135152,135389,136149
Ceredigion,W06000008,65933,67536,68854,69937,70818,70609,71807,72518,74046,74942,75417,75500,75581,75775,75485,75342,75326,74971,74642,75217,75293,76215,76087,75197,73724,72900,72220,71291,70639,71421,70676,71873,73050
Pembrokeshire,W06000009,112446,113146,112885,113086,112249,112141,111640,111814,111667,112538,113058,114146,115147,116428,117204,118278,119640,121134,121563,121974,122613,122621,122302,122148,121721,121438,121382,121194,121432,122572,123633,124365,125006
Carmarthenshire,W06000010,169725,169265,169255,169962,171060,171145,171534,172039,172329,172874,173652,174628,176133,177487,178229,179504,181314,182517,182846,183004,183961,184206,184252,184349,184404,184985,184984,185444,186125,187391,188172,189148,190083
Swansea,W06000011,229743,229610,229349,228239,227765,227199,226764,225702,225080,224475,223463,224755,226350,228176,229347,230793,232460,234139,235601,237311,238691,239197,239237,239228,239354,239300,239266,239184,238707,238992,237897,242039,246742
Neath Port Talbot,W06000012,138844,138496,138219,138597,137751,137327,136679,136085,135356,134834,134380,134931,136233,137144,137670,138323,138957,139481,139537,139638,139880,139694,139093,139439,139704,141000,141022,141342,141385,142308,141934,142204,142898
Bridgend,W06000013,129477,129796,130129,130063,129466,128667,127996,128652,128585,128224,128735,129741,131032,131947,132893,134164,135949,137175,137783,138471,139410,139985,140579,141333,142177,142887,143355,143583,144500,145434,145738,146135,146743
Vale of Glamorgan,W06000014,118053,117605,117050,116850,116347,116327,116950,118297,117944,119276,119277,120279,120980,122101,122877,123642,124732,125713,126162,126435,126679,126703,126458,126714,126261,127082,128377,129165,129802,131224,132491,133619,134733
Cardiff,W06000015,296941,297429,299185,299085,300764,305345,307321,308601,310320,311443,310088,312021,313246,317099,321001,323766,328196,332790,337656,341402,345442,348084,349982,350949,351600,352982,354348,355125,357137,360287,359824,371104,383536
Rhondda Cynon Taf,W06000016,234917,235202,235468,235147,235553,235369,236043,234474,233904,232370,231910,231795,232361,233971,234070,234493,234471,234724,234743,234459,234373,235271,235145,235284,235233,235567,236357,236685,237574,238039,237545,239235,241178
Caerphilly,W06000018,170615,170129,170243,169559,168186,167385,167532,167921,168566,169045,169546,170776,171363,172361,172777,173741,174987,176259,177159,178101,178782,178563,178236,178513,178269,178013,177610,177277,176735,176805,175999,176131,176437
Blaenau Gwent,W06000019,72666,72592,72521,72770,72569,72289,72031,71292,71028,70537,70000,69452,69228,69242,69188,69610,69685,69820,69850,69798,69812,69589,69186,68737,68395,68135,67829,67566,67382,67219,66989,66960,67356
Torfaen,W06000020,90961,91188,90899,90928,90955,91268,91364,91355,91129,91214,90912,90700,90719,90516,90644,90820,90974,91094,91199,91060,91190,91199,90842,90866,90844,90730,90638,91130,91685,92337,92454,92863,93419
Monmouthshire,W06000021,80209,80207,81637,83200,84315,85209,85209,83921,83980,84458,84984,85417,86605,87829,88611,89090,89592,90109,90557,91016,91508,91623,91822,91864,91867,92024,91791,91834,91730,92456,93163,93985,94572
Newport,W06000022,135479,135515,135271,135461,135140,134707,135241,137328,136615,136932,137642,138727,139121,139316,139617,140557,141376,142744,143753,144803,145785,146760,147586,148150,148948,150926,153234,155222,156773,158438,159687,161565,163628
Powys,W06000023,119703,120368,121072,121400,121843,123954,124604,125438,125632,126134,126398,127145,128295,129568,130210,131037,131982,132865,133090,132878,133071,133146,132719,132809,132945,132531,132460,131967,131556,132199,133521,133874,134439
Merthyr Tydfil,W06000024,59594,59764,59517,59346,58658,58132,57371,57148,56516,56218,56207,55996,55955,56020,56259,56627,57173,57688,58156,58493,58851,58869,58791,58859,58922,59247,59337,59349,59255,59194,58869,58881,58593
Clackmannanshire,S12000005,48100,48170,48390,48590,48570,48560,48560,48410,48240,48170,48070,48140,48140,48680,49160,49540,50600,51190,51290,51330,51500,51350,51410,51390,51560,51540,51650,51570,51700,51430,51640,51750,
Dumfries and Galloway,S12000006,147170,147650,147940,148130,148520,148520,148520,148740,148230,147540,147780,147670,147860,148700,149620,149770,150370,151010,151160,151100,151410,150660,149950,149480,148820,148400,147820,147010,146850,146140,146330,145770,
East Ayrshire,S12000008,124020,123810,123540,123250,122790,122000,121440,121000,120550,120120,120310,119920,119850,120210,120280,120440,120950,121600,122110,122410,122690,122610,122250,121860,121620,121570,121130,120790,120870,120360,120520,120390,
East Lothian,S12000010,84440,84510,84880,85900,86600,86990,87730,88360,89110,89910,90180,91060,91640,92170,92730,93850,95570,97480,98340,99140,99920,101080,101900,102880,104100,105160,106060,107040,108500,109500,111350,112450,
East Renfrewshire,S12000011,85770,86050,86490,86660,87530,87410,87890,88310,88520,89040,89410,89930,89870,89790,89880,89750,89840,89870,89980,90410,90810,91070,91670,92540,93110,93910,94850,95100,95460,95880,96290,97160,
Na h-Eileanan Siar,S12000013,29330,29240,29260,29120,28810,28600,27910,27540,27210,26790,26450,26350,26430,26650,26930,27060,27210,27280,27420,27600,27690,27540,27350,27190,26940,26700,26690,26500,26340,26080,26170,26120,
Falkirk,S12000014,142500,142400,142240,142280,142680,143040,143340,143880,144570,144650,145270,145920,146800,148300,150130,151090,152320,153290,154210,155130,156250,156590,156850,157270,157890,158690,159270,159150,159600,159100,158880,158450,
Highland,S12000017,203790,205670,206740,207380,208220,208650,208560,208850,209200,209130,208920,209760,211640,214560,218060,220780,224000,226970,228750,230730,232730,233000,233080,233180,234050,234560,234780,234510,234500,233910,235860,235710,
Inverclyde,S12000018,91390,90850,89890,89320,88640,87060,86460,85840,85300,84660,84150,83730,83300,82690,82680,82320,82110,82000,81670,81510,81220,80990,80870,80560,80350,80110,79840,79370,79180,78620,78430,78340,
Midlothian,S12000019,79530,79050,79030,79060,78860,78960,79550,80120,80630,81110,80950,80880,80280,80230,80050,79990,80370,81550,81900,82360,83450,84390,85110,86850,88150,89440,90970,92200,93420,94180,95690,97030,
Moray,S12000020,83990,85380,86520,87850,87870,87430,87160,86800,86800,86720,87000,87690,88830,89380,90100,90780,91440,92840,93160,93690,93470,92710,93930,94170,94780,95090,94630,94080,94150,93850,94260,94280,
North Ayrshire,S12000021,138060,137700,137660,137550,137800,137610,137690,137470,137160,136360,135820,135890,136310,136500,136690,136790,137420,137910,137830,137800,138090,137640,137100,136680,136230,135940,135800,135130,134600,134070,133910,133490,
Orkney Islands,S12000023,19520,19670,19710,19750,19810,19730,19770,19590,19420,19290,19220,19330,19540,19830,20070,20340,20580,20740,20940,21220,21420,21510,21510,21510,21530,21630,21720,21810,21860,21960,22010,22020,
Scottish Borders,S12000026,103830,104540,105040,105450,105940,105860,105960,106040,105810,106250,106950,107530,108390,109450,110250,110860,112200,113360,113590,113700,113880,113950,114360,114770,114880,115440,115940,116160,116440,116360,117070,116820,
Shetland Islands,S12000027,22530,22600,22760,22790,22970,22860,22830,22700,22510,22180,21960,22000,21950,22090,22250,22210,22350,22480,22800,23060,23240,23200,23190,23330,23370,23230,23110,23000,22920,22880,22940,23020,
South Ayrshire,S12000028,113120,113100,113280,113550,113620,113540,113620,113320,112850,112290,112160,111690,111550,111840,112030,112100,112380,112610,112490,112600,112980,112900,112710,112440,112250,112190,112390,111980,112000,111460,111580,111560,
South Lanarkshire,S12000029,302530,303220,303950,305220,304930,304760,304440,303330,302580,302270,302340,302770,303480,305660,306850,308450,310370,311310,312180,313180,313900,314780,315830,316760,318080,318990,320410,321240,323110,323640,325500,327430,
Stirling,S12000030,80930,81050,81430,81980,82420,83060,84050,84680,85450,86160,86200,86630,87090,86920,87510,88090,88430,88540,88690,89550,90330,90470,90290,90170,90920,91610,91790,91950,92130,92160,91550,92530,
Aberdeen City,S12000033,214120,216140,218250,219500,219880,218350,217300,215650,214630,213340,211910,210680,209280,207820,208690,209630,212470,214020,217020,219730,222460,224060,225310,226240,226780,225490,224100,222470,223150,223210,221240,224190,
Aberdeenshire,S12000034,215870,219970,223100,225560,226070,226990,226020,226220,227240,227020,226940,228830,231250,234690,237570,241180,244390,246830,249020,251430,253650,255750,258130,261360,263260,263470,262870,262170,261840,261450,263060,263750,
Argyll and Bute,S12000035,93520,91680,91170,91910,91950,91740,91720,91670,91640,91050,91300,91020,90930,90580,90340,90860,90790,89910,89450,88620,88930,87180,88470,88450,87870,88240,88110,87610,87380,87180,87990,87920,
City of Edinburgh,S12000036,436320,436670,438300,440120,443860,444910,445720,446240,447190,448430,449020,447500,445300,445870,449470,452040,456040,458520,463230,469930,477940,480510,482850,485600,490750,496820,501540,504880,509470,510980,507460,514990,
Renfrewshire,S12000038,175690,175280,175320,175460,176430,176390,175800,175320,174390,173680,172850,172300,171560,171470,171430,171270,171870,172640,173020,173700,174700,174670,174610,175310,175940,177460,178610,179610,181180,181790,182560,184340,
West Dunbartonshire,S12000039,97250,96920,97000,96780,95870,95320,95200,94930,94420,93930,93320,93040,92470,91960,91530,91410,91370,91190,91080,90800,90610,90420,89980,89960,89950,90270,90130,89680,89590,89040,88560,88270,
West Lothian,S12000040,145040,144500,145680,147250,148710,150080,151780,153200,154760,157050,159030,160370,161690,163540,165010,167110,169470,171390,173040,174090,175300,175490,175210,176050,177040,178290,179040,179210,179680,179890,180860,181720,
Angus,S12000041,108400,109900,110910,111550,111560,110570,110000,109790,109560,108850,108370,108810,108700,110170,111340,112500,113540,114490,114830,115410,116200,116120,116170,116550,116870,116430,116070,115580,115510,115000,114960,114660,
Dundee City,S12000042,155550,154960,154000,152200,152460,152200,151350,149680,147970,146610,145460,144370,144080,143100,143600,143360,143700,144290,145170,146060,147200,147570,147570,147370,147320,147220,147830,147810,148350,148160,146930,148350,
East Dunbartonshire,S12000045,110170,109680,109270,109540,109850,109300,109280,109040,108670,108620,108250,107350,107000,106540,106040,105590,105050,104940,104960,104920,105000,105910,105980,106940,107350,107840,108460,108540,108880,108900,108980,108980,
Fife,S12000047,347360,347910,349260,350190,349720,347430,346540,346540,347030,348340,349770,350740,351360,353050,355460,357260,358740,360040,361420,362610,365300,365950,366340,366360,367010,368820,369380,369250,370650,370820,370980,371340,
Perth and Kinross,S12000048,127370,129300,130570,132230,133220,133130,133980,134580,135200,134970,134950,135130,135960,136900,138060,139380,141140,143130,144370,145600,146850,147260,147000,147800,148490,149160,149550,149360,149750,149450,150780,151120,
Glasgow City,S12000049,629220,622210,616680,612260,604080,598840,590660,587050,582950,577020,578710,576450,572270,569560,569250,568460,571760,576200,581620,586500,593060,593190,592310,592740,595690,601460,605040,609200,613730,614200,612650,622820,
North Lanarkshire,S12000050,326900,325840,324200,323830,323450,322300,322510,322180,322160,321390,321180,322520,323700,325400,327140,328740,331160,333280,335160,336280,337720,337980,338010,338440,338750,339730,340320,340340,341610,341450,341410,340930,
Antrim and Newtownabbey,N09000001,,,,,,,,,,,,,,,,,,,,,138651,139397,140042,140682,141364,142138,142996,143952,145152,145563,145852,146148,
"Armagh City, Banbridge and Craigavon",N09000002,,,,,,,,,,,,,,,,,,,,,200298,202560,204072,206141,208339,210924,212635,214887,217069,218162,219127,220271,
Belfast,N09000003,,,,,,,,,,,,,,,,,,,,,333895,334322,335881,337872,340194,341111,341915,343690,345391,344994,344992,348005,
Causeway Coast and Glens,N09000004,,,,,,,,,,,,,,,,,,,,,140907,141147,141100,141453,142052,142158,142296,142404,142776,142507,141664,141316,
Derry City and Strabane,N09000005,,,,,,,,,,,,,,,,,,,,,148191,148666,148721,149307,149589,150259,150589,150712,151236,150831,150834,150836,
Fermanagh and Omagh,N09000006,,,,,,,,,,,,,,,,,,,,,113501,114162,114219,114785,115057,115456,115859,116329,116797,116594,116926,116994,
Lisburn and Castlereagh,N09000007,,,,,,,,,,,,,,,,,,,,,135280,136498,137201,139186,140938,142088,143737,145644,147467,148102,149272,149915,
Mid and East Antrim,N09000008,,,,,,,,,,,,,,,,,,,,,135365,135837,135983,136610,137085,137718,138019,138592,139066,139134,139127,139200,
Mid Ulster,N09000009,,,,,,,,,,,,,,,,,,,,,139011,140466,141551,143217,144404,145874,147002,148028,149230,149747,150598,151001,
"Newry, Mourne and Down",N09000010,,,,,,,,,,,,,,,,,,,,,172276,173754,174951,175557,176559,178017,179199,180205,181528,181683,182345,182634,
Ards and North Down,N09000011,,,,,,,,,,,,,,,,,,,,,156943,157794,157956,158376,159362,160299,160931,161816,162807,163206,163827,164223,
