AREA_CODE,AREA_NAME,2018,2019,2020,2021,2022,2023,2024,2025
E08000010,Wigan,326088,327507.88,328790.185,330014.161,331171.751,332245.398,333208.81899999996,334064.544
E06000054,Wiltshire,498064,503436.368,509963.901,512729.081,515362.778,517842.498,520213.16299999994,522405.999
E07000094,Winchester,124295,125087.315,125809.148,126492.1,127164.156,127843.396,128538.113,129218.263
E06000040,Windsor and Maidenhead,150906,151187.957,151530.311,151905.208,152270.074,152515.34,152771.979,152903.146
E08000015,Wirral,323235,323876.42,324533.256,325177.315,325816.149,326394.414,326930.08,327415.425
E07000217,Woking,101167,101153.9,101087.057,101008.28,100919.514,100803.296,100613.156,100392.667
E06000041,Wokingham,167979,170113.99300000002,172103.568,173971.402,175705.65600000002,177260.788,178631.195,179888.206
E08000031,Wolverhampton,262008,263997.351,265809.424,267529.62100000004,269154.26,270676.559,272107.032,273451.905
E07000237,Worcester,101891,102066.308,102160.07,102201.955,102241.234,102319.118,102436.655,102569.93
E07000229,Worthing,110025,110674.288,111282.551,111890.038,112502.299,113093.487,113672.46,114222.876
E07000238,Wychavon,127340,129398.802,131411.619,133390.9,135294.259,137101.018,138814.293,140462.161
E07000128,Wyre,111223,111834.627,112428.276,113032.306,113630.923,114201.95,114739.801,115263.102
E07000239,Wyre Forest,101062,101665.529,102243.895,102816.648,103359.677,103872.259,104390.732,104889.908
E06000014,York,209893,210699.284,211099.296,211234.494,211334.305,211589.275,211952.625,212418.059
