,,Mid-2010 to Mid-2011,,,,,Mid-2011 to Mid-2012,,,,,Mid-2012 to Mid-2013,,,,,Mid-2013 to Mid-2014,,,,,Mid-2014 to Mid-2015,,,,,Mid-2015 to Mid-2016,,,,,Mid-2016 to Mid-2017,,,,,Mid-2017 to Mid-2018,,,,,Mid-2018 to Mid-2019,,,,,Mid-2019 to Mid-2020,,,,
E08000037,Gateshead,200349,793,578,6482,6415,200272,636,654,6989,7215,200098,585,468,6792,7224,200781,741,674,7424,7074,201724,811,402,7873,7480,202628,1196,352,7612,7685,202419,929,723,8507,8863,202508,1127,449,8738,9072,202055,1240,564,8557,9601,201950,1230,418,7603,8035
E07000173,Gedling,113741,268,217,5549,5123,114061,170,185,5800,5640,114974,198,185,6152,5423,115815,212,139,6435,5868,116142,217,172,6115,5878,116746,250,172,5931,5588,117128,217,151,6840,6546,117786,231,250,6784,6084,117896,208,144,6853,6812,118239,187,105,6463,6025
S12000049,Glasgow City,593060,10256,3196,19062,20752,595070,8550,5010,19812,22206,596520,7088,5023,20920,22546,599640,8897,4901,21415,23364,606340,10409,3332,22892,24129,615070,11462,3527,23504,23476,621020,9705,4311,23478,23482,626410,9970,4670,24110,24050,633120,12320,4330,23310,25030,635640,11880,7000,20120,21740
E07000081,Gloucester,121921,713,445,6003,5811,123405,729,438,5879,5619,124535,676,361,5987,5885,125686,885,406,6224,6254,127169,919,452,6545,6175,128355,987,587,6291,6219,129083,859,528,6745,6910,129285,864,514,6590,7286,129128,768,679,7026,7638,129709,747,497,6657,6483
E07000088,Gosport,82669,221,213,3244,3445,83272,185,183,3851,3627,83542,170,194,3468,3397,84346,195,125,3712,3414,84757,216,144,3642,3535,85492,222,119,3613,3341,85509,191,113,3896,4084,85283,211,178,3702,4092,84838,190,146,3577,3986,84679,182,173,3184,3467
E07000109,Gravesham,101766,699,264,3884,4254,102559,570,605,4642,4459,103383,669,433,4537,4445,104802,659,338,5080,4600,105715,732,346,4870,4871,106215,808,320,4501,5036,106121,683,373,4835,5712,106385,653,396,5220,5641,106939,582,452,5793,5780,106890,557,484,4779,5152
E07000145,Great Yarmouth,97424,472,110,3502,3547,97555,431,223,3681,3745,97736,527,225,3509,3570,98127,613,156,3683,3773,98615,644,129,3600,3550,98992,573,194,3604,3536,99417,564,239,4286,4132,99370,494,312,4280,4282,99336,433,253,4118,4154,99198,384,238,3622,3645
E09000011,Greenwich,255483,5315,2533,15966,17265,259986,4677,2199,17408,18840,264097,3874,1891,17640,18511,268853,4575,1686,18150,19412,274542,4538,1605,19254,19661,279139,4747,1952,18487,19915,282849,4179,2123,20764,22050,286186,4165,1717,21293,23307,287942,4070,2142,22150,24813,289034,4038,2172,18848,21605
E07000209,Guildford,137580,3737,1803,9840,9818,139338,3177,1938,10449,10409,140657,2823,1409,9520,10247,142551,2865,1378,10840,10717,145056,3015,1545,10712,10783,146845,3210,1401,10228,10801,147777,2679,1582,11906,12157,147889,3415,1816,11663,13200,148998,3533,1696,12313,13692,150352,4147,2458,12138,12004
W06000002,Gwynedd / Gwynedd,121523,1002,668,5489,5589,122007,970,563,5715,5796,121653,900,327,5211,6039,121897,965,425,5395,5732,122635,1361,528,5451,5310,123323,1171,415,5654,5569,123742,991,552,5993,5820,124178,1160,554,5884,5769,124560,1246,461,6063,6116,125171,1479,346,5324,5465
E09000012,Hackney,247182,4545,2874,17253,18251,252212,4529,3026,18873,18739,257436,4861,2880,18866,19105,263112,5285,2780,19999,20225,268626,5355,2341,20034,20772,273239,5583,2752,19338,20999,275929,5054,3534,21271,23324,279665,5373,3114,22746,24597,281120,5152,4552,23806,26179,280941,5324,4719,19967,23446
E06000006,Halton,125722,271,205,3096,3414,125781,190,152,3437,3841,126074,177,226,3469,3569,126501,218,196,3758,3763,126719,270,190,3470,3646,127306,434,191,3543,3557,127595,368,233,3848,3906,128432,392,276,4443,3956,129410,348,189,4541,3935,129759,438,314,3850,3598
E07000164,Hambleton,89602,252,121,3861,3650,89794,257,210,3952,3997,89997,228,182,3902,3672,89915,277,224,4065,3931,90074,252,190,4093,3860,90591,255,130,4225,3741,90718,236,159,4650,4469,91134,278,116,4873,4441,91594,213,116,5021,4434,91932,189,82,4629,3921
E09000013,Hammersmith and Fulham,182445,5315,5168,17139,18224,182117,5116,5362,16737,18599,181421,5021,4511,15634,18577,181679,5917,4062,16336,19584,182183,5913,3526,16505,19866,181783,5565,3904,15865,19574,182998,5333,4336,19109,20488,185426,5648,3548,20065,21214,185143,4995,4881,21264,22943,183544,5045,5136,18342,20523
E07000131,Harborough,85699,235,156,4201,3543,86368,237,161,4318,3827,87426,177,152,4722,3703,87935,208,122,4781,4424,89144,216,137,5200,4121,90251,249,135,5085,4152,91461,199,105,5861,4678,92499,289,201,5977,5012,93807,266,133,5964,4730,95537,282,87,5701,4075
E09000014,Haringey,255540,6921,3554,18876,23134,257898,6817,3870,19381,23002,261033,6776,3266,19699,23191,264398,8230,3455,20626,25038,268251,8259,3053,20746,24979,272078,7840,3582,21313,24701,271224,7480,4460,22469,29113,270624,6447,3873,23359,29154,268647,6016,5300,24138,29256,266357,5669,4451,20799,26296
E07000073,Harlow,82177,614,271,3260,3478,82814,522,276,3378,3564,83438,562,317,3327,3641,84619,688,221,3855,3757,85335,641,180,3671,3983,85867,708,316,3734,4114,86191,637,359,4114,4602,86594,648,418,4468,4724,87067,558,429,4614,4724,87280,499,348,4002,4283
E07000165,Harrogate,158683,759,693,6317,5707,159396,760,912,6623,6075,159679,685,572,6482,6101,159631,810,639,6782,6653,159916,862,571,6755,6477,159768,869,604,6639,6623,160044,790,682,7563,7505,160533,997,701,7799,7346,160831,921,1061,7962,7396,161545,975,662,7287,6491
E09000015,Harrow,240499,3805,1334,13274,14776,241978,3132,1845,13944,15846,243004,2871,1688,13300,15652,245149,4526,1985,13704,16310,246818,5332,1956,13331,16975,248697,5608,1777,13277,17436,248880,4742,1707,15142,20130,250149,4631,1429,15919,19955,251160,4345,1955,16911,20369,252338,4022,2304,15499,17637
E07000089,Hart,91662,407,289,5046,5167,92224,345,344,5509,5289,92959,313,297,5306,4976,93680,367,240,5380,5253,94395,419,226,5356,5360,94882,413,154,5348,5353,95465,369,247,5956,5720,96293,432,269,6320,5740,97073,364,259,6177,5728,97608,324,290,5234,4999
E06000001,Hartlepool,92088,259,160,2040,2065,92261,161,178,2058,2119,92662,264,141,2312,2220,92606,195,151,2162,2457,92498,223,123,2137,2281,92845,276,82,2341,2257,93019,266,113,2603,2578,93242,292,58,2837,2831,93663,394,79,3059,2958,93836,406,87,2640,2660
E07000062,Hastings,90173,426,558,4315,4079,90377,395,416,4495,4479,90906,416,349,4353,4161,91360,448,241,4446,4435,91937,500,230,4502,4230,92903,607,228,4535,4045,92813,522,239,4384,4827,92855,498,331,4517,4683,92661,461,357,4470,4836,92554,423,398,4186,4286
E07000090,Havant,120783,308,202,4990,4860,121285,222,217,5718,5362,121671,211,170,5396,5020,122345,267,136,5706,5177,123122,283,152,5867,5214,123891,293,140,5793,5160,125065,252,152,6883,5801,125813,288,198,6591,5748,126220,239,159,6598,6202,126339,219,245,5501,5132
E09000016,Havering,237927,986,245,9424,8797,239742,733,466,10383,9598,242142,729,410,10930,9460,246030,1139,467,12515,10271,249375,1381,540,12350,10640,253371,1750,613,12340,10637,256039,1492,738,13712,12790,257810,1597,612,13735,13832,259552,1495,663,14757,14839,260651,1400,725,12711,12727
E06000019,"Herefordshire, County of",183619,1213,479,6203,6112,185197,1771,560,6835,6536,186389,1395,636,6399,6235,187737,1554,581,6951,6606,188522,1693,611,6631,6615,189532,1486,448,6689,6404,191041,1530,508,7653,6838,192107,1362,698,7639,6904,192801,1215,633,7490,7026,193615,1047,381,6744,5921
E07000098,Hertsmere,100379,578,603,6121,5589,100895,486,602,6319,6148,101449,418,507,6477,6220,102540,682,412,6873,6579,103157,796,388,6703,6826,103705,819,460,6743,7035,104031,729,430,7115,7468,104205,677,550,7275,7491,104919,657,611,7578,7249,105471,598,611,7166,6619
E07000037,High Peak,90982,237,270,3435,3409,91160,173,128,3361,3391,91172,168,160,3175,3261,91417,182,103,3497,3420,91523,191,133,3450,3385,91720,197,113,3414,3370,92063,188,121,4321,4045,92221,214,236,4251,4009,92666,217,166,4545,4070,92633,219,100,3762,3705
S12000017,Highland,232730,1023,599,6486,6012,232890,761,936,6390,6097,232930,619,862,6459,6123,233080,719,807,6524,6197,234110,918,589,6804,6018,234770,920,571,6717,5870,235180,730,642,6571,5846,235540,750,720,6720,5790,235830,820,640,6620,5810,235430,690,1010,5500,4780
E09000017,Hillingdon,275499,6279,1873,15789,15970,281179,5082,2165,17216,17109,285996,4364,1771,16530,16827,291368,5406,1935,16995,17795,296056,5821,2048,17061,18677,299899,5566,2230,17218,19471,302343,5000,2187,19730,22614,304824,5413,1908,20005,23196,306870,5335,2292,20746,23875,309014,5682,2717,18261,20866
E07000132,Hinckley and Bosworth,105328,301,188,4183,3878,105956,250,258,4628,4284,106527,207,185,4576,4233,107560,276,187,5169,4409,108603,279,208,5285,4459,109881,296,190,5375,4320,111370,256,183,6236,5000,112423,274,304,6129,5056,113136,262,235,6118,5458,113666,208,194,5206,4560
E07000227,Horsham,131540,542,417,6264,5793,132267,470,343,6497,6076,133173,461,320,6606,5783,134507,596,268,6978,6058,136258,625,327,7478,5871,138523,655,259,7925,6145,140142,566,343,8166,6775,142217,694,362,8703,6924,143791,645,387,8636,7306,145474,625,449,8007,6311
E09000018,Hounslow,254927,6832,3359,15715,16783,258518,4896,2607,15898,17841,261275,4692,2307,15313,18065,264030,5614,2401,15677,19355,266412,5905,2297,15671,19665,268270,6294,2427,15143,20163,269100,5523,2560,17512,22404,270782,5720,1879,17743,22402,271523,5266,2040,18491,23365,271767,4802,2060,15550,19980
E07000011,Huntingdonshire,170039,791,515,7739,7163,171206,639,715,8142,7741,172147,634,590,7959,7490,173883,800,463,8395,7756,175334,840,495,8099,8159,176095,828,651,7793,7823,176979,753,776,9249,8876,177352,741,1058,9055,8837,177963,662,892,9263,8929,178985,593,655,8481,7594
E07000120,Hyndburn,80549,252,161,2694,3260,80160,172,131,2868,3656,79953,178,178,2871,3399,80150,211,109,3271,3507,80113,202,125,3000,3343,80392,221,141,3240,3288,80410,212,145,3386,3672,80815,229,103,3620,3496,81043,256,48,3580,3748,81133,172,42,3258,3393
S12000018,Inverclyde,81220,99,124,1159,1423,80690,77,176,1248,1454,80340,71,128,1332,1435,79890,70,133,1306,1513,79500,100,86,1356,1506,79160,131,92,1399,1494,78760,100,96,1418,1412,78150,80,140,1390,1510,77800,150,90,1460,1430,77060,70,140,1180,1210
E07000202,Ipswich,133729,957,923,6188,5772,135065,896,755,6570,6287,135604,857,643,5862,6379,136429,1032,580,6208,6668,137694,1436,522,6159,6471,138515,1574,803,6146,6953,138480,1312,858,6593,7822,137532,1725,1353,6383,8265,136913,1408,1085,6440,7922,135979,1255,1155,5708,7132
W06000001,Isle of Anglesey / Ynys M�n,69913,113,95,2219,2270,70037,149,125,2327,2254,70073,123,70,2356,2305,70141,130,74,2377,2371,69936,130,85,2267,2380,69665,111,44,2197,2391,69794,124,53,2484,2291,69961,127,62,2525,2238,70043,116,53,2517,2293,70440,102,42,2350,1800
E06000046,Isle of Wight,138392,470,510,4308,3682,138826,354,368,4772,4018,138555,351,297,4268,3625,139332,373,197,4773,3885,139763,395,235,4592,3854,140264,409,182,4611,3844,140984,370,180,5318,4153,141538,429,230,5179,4174,141771,349,241,4967,4134,142296,327,277,4676,3352
E06000053,Isles of Scilly,2224,9,23,148,162,2279,36,19,213,168,2261,11,24,160,165,2292,16,24,201,174,2335,24,21,196,163,2331,26,19,178,185,2259,20,21,188,257,2242,27,21,215,233,2224,22,30,243,261,2226,22,11,163,170
E09000019,Islington,206285,10314,5104,20079,20273,211273,8446,3886,19864,21478,215855,7480,3659,19543,20669,221405,8102,3285,20749,21816,227507,8987,3254,21123,22603,232055,8506,3680,20649,22654,235000,7712,4385,22712,24959,239142,9150,3600,23020,26155,242467,9466,4472,24348,27532,248115,10913,4257,22088,24348
E09000020,Kensington and Chelsea,158251,5052,5772,10642,12692,156912,4563,4900,10304,12560,157141,4436,4041,10391,11667,157830,4882,3724,10999,12579,158589,5049,3587,11055,12796,156773,4509,3400,9934,13818,155741,4429,3410,10545,13442,156197,4775,3340,11333,13159,156129,4445,4267,12385,13545,156864,4698,2719,10424,12265
E07000146,King's Lynn and West Norfolk,147936,804,318,5255,5169,148579,658,508,5937,5333,149187,667,432,5728,5151,150214,758,333,5902,5557,151261,760,370,6110,5398,151797,871,493,5797,5382,151945,737,526,6392,6251,151811,721,744,6600,6219,151383,660,617,6651,6391,151245,585,488,6133,5395
E06000010,"Kingston upon Hull, City of",256123,2565,864,7828,10413,257012,1954,1381,8749,10066,257188,2106,1431,8324,10135,257414,2383,1724,8726,10345,258587,2350,1203,8715,9815,260035,2780,1507,8980,9936,260673,2436,1832,10748,11676,260645,2746,1859,10409,12125,259778,2442,2379,10814,12470,259126,2381,1425,10020,12078
E09000021,Kingston upon Thames,160436,4153,1392,11982,12738,163200,3394,1966,12688,12667,165657,2864,1466,12281,12334,168433,3280,1534,12850,13038,171609,3628,1477,12616,12842,173703,3486,1719,12265,13143,174609,3098,1852,13126,14653,175470,3343,1474,13374,15396,177507,3590,1692,14211,14987,179142,4068,1811,11684,13018
E08000034,Kirklees,422970,2800,1248,12391,12605,425346,2268,1411,13102,13629,427831,2350,1257,13040,13701,429998,2679,1891,13113,13675,432855,2811,1401,13512,13753,435236,2885,1460,13381,13981,437145,2641,1287,15328,16263,438727,2763,918,15377,16770,439787,2633,1071,15620,17161,441290,2970,854,13705,15123
E08000011,Knowsley,145903,324,252,4617,5267,145942,145,102,5222,5879,146091,168,150,5408,5622,146429,206,125,5880,6002,147262,220,122,5918,5601,148001,251,135,5792,5579,148560,281,216,6627,6557,149571,318,231,7151,6589,150862,299,147,7604,6830,152452,274,167,6928,5627
E09000022,Lambeth,304481,8532,5608,28959,28872,309366,7414,5565,30070,30786,312700,7472,4920,29059,31792,316637,7100,4482,30791,32699,320736,7027,4546,31838,33410,323063,6737,4967,32031,34447,324048,6358,6030,34950,37136,325917,6542,5076,36269,38527,326034,5985,6518,38612,40432,321813,5960,7159,32160,37152
E07000121,Lancaster,137823,2132,650,8085,7900,139317,1970,868,8157,8022,139835,2013,981,7638,8239,140172,1972,1094,7990,8480,140787,2134,858,7380,8182,141723,2114,1090,7673,7795,142487,1844,1222,8916,8601,144246,2424,882,9225,8865,146038,2449,624,9508,9445,148119,2885,942,8964,8564
E08000035,Leeds,750683,8406,3818,35484,36596,757566,6597,5103,39048,37651,760894,6411,5216,35829,37360,765430,7844,6750,37868,38172,773213,8828,5198,38189,37648,781087,9590,5993,38149,37749,784846,8115,6252,43102,44594,789194,9740,5608,43560,46078,793139,9545,7224,46542,47795,798786,10225,5483,42596,43384
E06000016,Leicester,329627,6710,3435,15108,17866,332067,5330,3680,16807,19118,334631,6312,3595,15842,18714,338491,6945,2925,16607,19507,344036,8149,2902,16832,19098,349513,7908,2857,17124,19359,353540,6873,2600,21043,23668,355218,7768,4746,21542,25127,354224,7287,4142,21211,27498,354036,7544,3311,18931,25037
E07000063,Lewes,97584,420,230,5026,4344,98695,332,390,5756,4722,99626,268,233,5581,4465,100428,325,200,5768,5063,100898,317,209,5428,4880,101631,353,174,5771,4972,102257,329,198,5771,5072,102744,372,248,5846,5224,103268,296,239,6020,5165,103525,290,228,5699,4983
E09000023,Lewisham,276938,5411,2736,19406,20762,280705,4697,2940,20756,22201,284956,4255,2226,21187,22382,290284,5188,2371,22542,23329,294999,5366,2357,22879,24415,298903,5123,2666,22916,24809,301307,4741,3196,24564,26959,303536,4818,2863,25064,27812,305842,4651,3246,26730,28714,305309,4785,3364,21843,26323
E07000194,Lichfield,100911,219,181,4710,4407,101175,225,159,4618,4559,101716,240,164,4970,4448,102062,291,121,5191,4938,102566,263,167,4885,4549,102831,256,127,4755,4645,103507,251,109,5763,5454,103965,241,137,5861,5218,104756,205,139,6425,5318,105637,180,67,5370,4505
E07000138,Lincoln,93085,839,664,7574,7399,94535,774,631,8719,7909,95371,926,547,8049,8117,95910,1075,370,8172,8842,96641,1105,472,8233,8417,97385,1098,507,8212,8486,98438,963,499,10356,10024,99039,1111,1037,10397,10014,99299,1013,938,10894,10781,100049,1042,462,10514,10478
N09000007,Lisburn and Castlereagh,135280,647,703,5069,4441,136311,551,582,5987,5415,136808,503,554,5260,4806,138627,476,463,5993,5110,140205,460,454,5833,5245,141181,454,687,5913,5172,142640,458,436,6030,4963,144381,532,449,6274,5182,146002,528,456,6341,5322,146452,528,609,5303,4828
E08000012,Liverpool,465656,6738,3525,19905,22017,470191,6128,2850,22461,22880,471789,6301,3492,21073,23327,474569,7296,4262,22022,24082,480873,8112,3571,23523,23098,487605,8379,4214,24309,23231,491549,7174,5631,27897,26965,494814,8454,6250,29434,29369,498042,8350,4202,29458,31610,500474,8928,5711,29819,30971
E06000032,Luton,203641,4964,1279,7469,9297,205498,3613,1757,8201,10362,207404,3108,1287,8227,10158,210173,3638,1154,8927,10849,213581,4174,1207,9019,10615,215914,4656,1743,8361,11158,214658,3828,1758,8519,13869,214109,4102,2069,8985,13229,213052,3783,1989,8782,13516,213528,3660,1743,8436,11475
E07000110,Maidstone,155764,1024,771,7702,6679,157368,929,666,8210,7502,159230,962,676,8215,7194,161510,1321,677,8805,7738,164019,1457,670,8663,7476,165719,1566,689,8195,7903,167730,1345,767,9088,8167,169955,1356,875,9687,8398,171826,1164,861,9831,8656,173132,1024,1133,8614,7409
E07000074,Maldon,61720,151,109,2634,2645,61946,125,83,2957,2717,62217,113,70,2871,2627,62801,141,67,3314,2743,62824,154,43,3092,3013,63418,143,86,3384,2792,63975,143,53,3801,3213,64425,149,75,3559,3087,64926,119,52,3614,3012,65401,114,66,3311,2660
E07000235,Malvern Hills,74706,284,210,4132,3672,75090,312,182,4544,4021,75560,279,163,4466,3729,76224,389,163,4725,3984,76136,363,167,4201,4040,76555,329,116,4439,3819,77165,305,114,5236,4371,78113,383,139,5317,4161,78698,378,143,5157,4336,79445,383,85,4594,3582
E08000003,Manchester,502902,14088,8739,36097,37389,510501,12148,7642,36461,38139,513665,11144,8761,35128,38787,518834,12998,9242,36749,39825,529809,14766,7297,37622,38578,541319,15169,8024,38378,38588,545501,12722,9247,41728,45287,547627,13601,10337,42268,47356,552858,13909,7492,45026,50077,555741,15451,10710,40877,45996
E07000174,Mansfield,104551,429,239,3648,4149,104812,440,218,3876,4179,105334,572,210,4087,4194,105972,526,154,4313,4380,106780,815,193,4446,4441,107880,926,234,4637,4432,108576,734,269,5031,4912,108841,612,519,5243,5103,109313,586,383,5378,5236,109351,492,232,4684,4787
E06000035,Medway,264885,1566,1283,10702,10333,268130,1174,1026,11823,10280,270689,1141,1165,11639,10666,273212,1454,982,12044,11600,275176,1529,1047,11996,11738,276957,1640,911,11922,12406,277616,1422,1042,12432,13571,277855,1396,1123,12392,13587,278556,1290,1035,12835,13559,279142,1209,1130,11666,12115
E07000133,Melton,50495,143,131,2146,1877,50785,129,149,2313,2136,50868,115,119,2213,2210,51012,126,89,2348,2312,50956,136,110,2182,2303,50967,136,95,2127,2216,50873,132,86,2307,2418,51100,109,158,2615,2331,51209,115,113,2655,2520,51394,88,56,2337,2156
E07000187,Mendip,109406,449,330,5629,5261,110050,430,256,5772,5510,110326,403,318,5760,5386,111091,498,295,6232,5720,112056,536,321,6275,5521,113131,552,316,6409,5528,113513,464,312,6418,6134,114881,591,248,7147,6016,115587,537,433,7072,6420,116288,543,268,6040,5369
W06000024,Merthyr Tydfil / Merthyr Tudful,58851,134,67,1349,1447,58907,187,129,1471,1661,59008,177,65,1528,1647,59056,178,85,1460,1610,59247,130,79,1593,1589,59714,243,69,1594,1436,59953,182,93,1564,1498,60183,144,116,1668,1508,60326,129,86,1682,1605,60424,132,63,1406,1336
E09000024,Merton,200543,3761,2132,14585,15451,202047,3172,3303,15191,15865,203637,2858,2095,15100,16559,204598,3622,2410,15250,17615,205965,3698,2301,15224,17284,206706,3739,2281,14818,17693,206052,3438,2458,16219,19797,206186,3061,1872,17065,20003,206548,2878,2226,18171,20223,206453,2673,2513,16143,17822
N09000008,Mid and East Antrim,135365,709,621,2845,3173,135838,607,500,3319,3415,135997,651,467,3301,3539,136642,768,479,3434,3293,137145,882,535,3350,3473,137821,948,396,3559,3515,138152,610,669,3562,3390,138773,924,428,3507,3471,139274,808,510,3634,3649,139443,545,656,3299,3177
E07000042,Mid Devon,77936,318,206,3944,3731,78382,240,133,4197,4016,78706,246,161,4106,4029,79272,293,134,4413,4152,79582,294,168,4191,4010,79880,275,183,4280,4061,80623,252,176,5031,4304,81695,339,163,5306,4386,82311,250,265,5196,4538,83290,248,140,4516,3610
E07000203,Mid Suffolk,97076,229,199,4673,4258,97789,213,157,5108,4544,98431,189,147,4963,4334,99596,212,112,5569,4515,100251,224,128,5534,4954,100720,224,131,5389,4940,101543,215,120,6063,5219,102493,221,154,6312,5175,103895,192,128,6584,5105,104857,174,112,5563,4339
E07000228,Mid Sussex,140188,667,489,6566,6299,141260,635,551,7224,6481,142983,660,547,7503,6117,144664,723,390,7844,6807,145969,758,433,7744,6876,147540,814,379,7565,6755,148345,686,390,7994,7596,149716,863,499,8309,7431,151022,727,532,8546,7571,152142,688,580,7811,6794
N09000009,Mid Ulster,139011,1597,1151,2872,2817,140357,1426,927,2956,3332,141329,1384,1086,2938,3291,142895,1317,670,2953,3131,144002,1398,769,3017,3417,145389,1200,592,3411,3485,146427,951,691,3929,4028,147392,969,506,3634,3896,148528,1141,595,3757,3951,148953,818,929,3391,3482
E06000002,Middlesbrough,138368,1924,758,5646,6360,138726,1014,619,6006,6679,138911,1054,444,6016,7094,138991,1197,723,5821,6919,139310,1274,545,6184,7071,140326,1625,391,6013,6714,140639,1096,420,6899,7779,140545,1432,247,6599,8187,140980,1570,403,7041,8168,141285,1492,358,6208,7116
S12000019,Midlothian,83450,179,106,2541,2092,84240,174,150,2678,2143,84710,88,133,2900,2279,86220,149,189,3378,2318,87390,171,191,3474,2467,88610,207,122,3424,2501,90090,159,114,3621,2395,91340,190,150,3600,2550,92460,230,160,3540,2680,93150,150,220,3080,2380
E06000042,Milton Keynes,249895,1918,1592,10072,9095,252773,1495,1355,10712,10301,256376,1564,1551,11110,9747,260225,2215,1201,11142,10516,263181,2660,1551,10675,10735,266240,2854,1279,10806,11391,267521,2440,1518,12320,13794,268607,2378,2050,12841,13724,269457,2168,2074,12925,13723,270203,1889,2419,11612,11735
E07000210,Mole Valley,85637,411,445,4724,4548,86096,338,459,4970,4432,86761,320,465,5043,4263,86871,377,316,5105,5035,86978,443,309,4804,4778,87258,451,272,4860,4704,87128,396,292,5373,5502,87253,473,310,5448,5461,87245,409,281,5388,5379,87547,388,422,5217,4571
W06000021,Monmouthshire / Sir Fynwy,91508,132,220,4067,3791,91737,197,258,4285,3908,92249,172,122,4396,3811,92540,200,162,4530,4113,92805,210,165,4409,4048,93276,263,103,4549,4096,93590,218,169,4728,4165,94142,257,170,4998,4251,94590,228,133,5017,4338,95164,225,149,4426,3529
S12000020,Moray,93470,407,502,2633,2700,92930,315,414,3097,2671,94360,227,373,3301,2559,94770,282,324,3197,2688,95510,332,454,3348,2816,96070,321,241,3242,2769,95780,200,304,2938,2831,95520,220,340,2860,2690,95820,300,260,2880,2630,95710,280,380,2440,2320
S12000013,Na h-Eileanan Siar,27690,60,57,848,828,27560,44,81,822,772,27400,28,87,833,793,27250,32,80,786,826,27070,55,53,826,833,26900,72,53,765,851,26950,64,53,925,781,26830,50,70,810,770,26720,50,60,800,740,26500,40,90,680,660
W06000012,Neath Port Talbot / Castell-nedd Port Talbot,139880,119,127,3864,3626,140081,168,175,4223,4003,139867,199,93,3898,4043,140453,181,106,4418,3913,140946,182,121,4405,3844,141678,392,92,4490,3988,142090,226,125,5289,4763,142906,406,137,5874,5062,143315,365,147,5929,5540,144386,409,152,5833,4553
E07000091,New Forest,176789,654,357,7428,6653,177480,585,338,8209,7338,178186,536,370,7718,6771,179014,620,293,8061,7131,179275,668,282,7778,7179,179529,622,269,7689,7218,179590,589,289,8541,7976,179753,647,335,8511,7798,180086,558,292,8564,7780,179649,535,315,7333,6998
E07000175,Newark and Sherwood,114982,427,302,5180,5021,115851,419,246,5839,5124,116878,373,271,5849,5158,117859,416,183,6149,5514,118695,452,182,5893,5374,119848,494,193,6164,5324,120965,459,243,6848,5923,121566,390,384,6630,5902,122421,381,327,7125,6206,123127,347,189,6262,5572
E08000021,Newcastle upon Tyne,279092,6244,2672,17260,18738,281893,4633,3378,19450,18951,285821,5414,2513,18892,18945,288340,5612,4000,20003,20139,290764,5984,3687,19326,19811,293713,5425,2442,19074,20039,295842,4846,3342,22791,22957,300196,5481,1744,23581,23607,302820,5700,2942,24006,24941,306824,6615,2376,22427,22912
E07000195,Newcastle-under-Lyme,123878,872,310,6318,6163,124104,717,299,6185,6415,125184,678,270,6833,6092,125978,830,243,6642,6564,126863,765,262,6768,6301,128126,704,299,7166,6221,128963,667,242,8266,7832,129490,484,314,8083,7545,129441,632,284,8074,8330,129610,657,190,7580,7567
E09000025,Newham,310460,16545,4344,15790,23218,316295,12391,3362,17326,25685,321465,11331,3157,17706,25713,328066,13688,3648,18678,27212,336254,14021,3143,19878,27151,344533,14521,3385,19553,27349,347996,12785,4189,21326,31175,352005,12056,3514,23626,32602,353134,11707,4957,24676,34513,355266,11443,4769,21294,29701
W06000022,Newport / Casnewydd,145785,878,777,5119,5029,146275,983,844,5490,5687,146741,766,420,5176,5533,147119,916,548,5339,5824,147958,934,626,5436,5447,149478,1173,402,5692,5421,151485,998,622,6878,5780,153302,1001,743,6912,5701,154676,1066,709,6484,6039,156447,1006,616,5959,4841
N09000010,"Newry, Mourne and Down",172276,1154,853,3420,3653,173691,1058,888,3908,3939,174829,991,851,3951,4068,175403,1143,796,4065,4406,176369,1060,632,4019,4449,177816,1178,780,4305,4347,178996,1020,529,4403,4439,180012,1141,673,4275,4518,181368,1124,637,4381,4351,181669,907,984,4064,4107
S12000021,North Ayrshire,138090,222,190,3306,3202,137570,149,376,3348,3522,136940,110,348,3385,3455,136480,136,304,3414,3383,136130,158,200,3567,3465,135890,184,224,3558,3453,135790,182,231,3623,3222,135280,160,270,3420,3260,134740,180,250,3430,3280,134250,210,360,2990,2710
E07000043,North Devon,93976,302,228,4278,3807,93845,241,162,4216,4326,93839,236,160,4247,4239,94027,275,189,4470,4411,94162,297,159,4529,4290,94643,273,183,4673,4130,95440,249,168,5325,4351,96110,314,145,5385,4561,97145,253,188,5518,4258,98170,247,179,4947,3730
E07000038,North East Derbyshire,99100,166,86,3937,3638,99347,122,66,3910,3676,99306,119,91,3862,3783,99383,140,43,4034,3936,99661,137,59,4266,3820,100450,131,59,4536,3634,100780,123,64,5364,4797,101125,127,98,5465,4807,101462,116,53,5569,4993,102216,111,27,5198,4057
E06000012,North East Lincolnshire,159735,563,196,4106,4371,159788,345,261,4219,4668,159963,344,291,4268,4403,160019,455,331,4387,4817,159971,519,182,3840,4542,159828,627,289,3862,4550,159826,526,337,4682,4855,159821,573,357,4511,4770,159563,586,430,4690,5021,159364,531,384,3970,4299
E07000099,North Hertfordshire,127494,413,426,6852,5992,128302,335,620,7288,6611,129231,338,445,7206,6524,130902,423,316,7810,6722,131611,455,265,7389,7095,132655,488,398,7356,6824,133321,427,352,7999,7653,133214,450,425,7861,8180,133570,454,395,8138,8064,133463,373,296,6755,7115
